| Exhibit | Object | Object Type | Call Number | Link to Object Image | Copyright Status |
|...........|..........|.....|......|.......|.......|
| The Life and Objects of Rufus Jones | Diaries, 1878-1883 | Diaries | HC.MC-1130_038_02_02 | https://digitalcollections.tricolib.brynmawr.edu/node/554400 | None |

The Life and Objects of Rufus Jones | Message to German People by RMJ | Article | HC.MC-1130_083_17_52 | https://digitalcollections.tricolib.brynmawr.edu/node/483274 | None |

The Life and Objects of Rufus Jones | Speech on AFSC work | Speeches (compositions) | HC.MC-1130_081_01_01 | https://digitalcollections.tricolib.brynmawr.edu/node/484307 | None |

| The Life and Objects of Rufus Jones | Photograph of RMJ recieving 1943 Honorary degree | Photograph | HC.MC-1130_099_12_09  | https://digitalcollections.tricolib.brynmawr.edu/node/487752 | None |

| The Life and Objects of Rufus Jones | Doctorate of Laws from Earlham  Diploma | MC1130, Box 97 | https://digitalcollections.tricolib.brynmawr.edu/node/537063 | None |

| The Life and Objects of Rufus Jones | Doctorate of Letters from Whittier College | Diploma | MC1130 Box 97 |  https://digitalcollections.tricolib.brynmawr.edu/node/537066 | None |

| The Life and Objects of Rufus Jones | Tourist map of India, 1926 | Map |MC11130, Box 88, Folder 18 | https://digitalcollections.tricolib.brynmawr.edu/node/554398 | None |

| The Life and Objects of Rufus Jones | RMJ and EBJ 1926 Passport | Passport | HC.MC-1130_083_05_02 | https://digitalcollections.tricolib.brynmawr.edu/node/482386 | None |

| The Life and Objects of Rufus Jones | 1926 pamphlet about RMJ's lecture in Jinan | pamphlets | HC.MC-1130_088_17_02 | https://digitalcollections.tricolib.brynmawr.edu/node/492792 | None |

| The Life and Objects of Rufus Jones | Cook's Guide to Peking (used 1926), 1924 | books |  Box 88, Folder 19 | https://digitalcollections.tricolib.brynmawr.edu/node/554401 | None |

The Life and Objects of Rufus Jones  1926 Calender, June-December  Calenders  HC.MC-1130_088_17_01  https://digitalcollections.tricolib.brynmawr.edu/node/492782  None

| The Life and Objects of Rufus Jones | Note cards for Public Address on New Year, 1932 | notes (documents) | HC.MC-1130_080_05_02 | https://digitalcollections.tricolib.brynmawr.edu/node/481330 | None |

| The Life and Objects of Rufus Jones | Letter from Herbert Hoover to RMJ, 1919 November 1 | letters (correspondence) | MC1130, Box 12, Folder 3 | https://digitalcollections.tricolib.brynmawr.edu/node/537102 | None |

| The Life and Objects of Rufus Jones | Letter from James A. Babbitt to RMJ, 1919 March 4 | letters (correspondence) | MC1130_012_02_40 | https://digitalcollections.tricolib.brynmawr.edu/node/325201 | None |

| The Life and Objects of Rufus Jones | Letter from Charles Rhoades to RMJ, 1919 June 19 | letters (correspondence) | HC.MC-1130_012_02_36 | https://digitalcollections.tricolib.brynmawr.edu/node/325183 | None |

| The Life and Objects of Rufus Jones | Photograph of Rufus Jones by Wurts Brothers Photographers at a meeting of the American Friends Service Committee in Philadelphia, celebrating his 80th birthday, 1943 | photographs | MC1130_100_03_17 | https://digitalcollections.tricolib.brynmawr.edu/node/487976  | None

| The Life and Objects of Rufus Jones | Portrait of RMJ in a classroom, circa 1901 | photographs | HC.MC-1130_097_18_01 | https://digitalcollections.tricolib.brynmawr.edu/node/487364 | None |

| The Life and Objects of Rufus Jones | Portrait of RMJ at Moses Brown School, 1881 | photographs | HC.MC-1130_097_17_14 | https://digitalcollections.tricolib.brynmawr.edu/node/487358 | None |

| The Life and Objects of Rufus Jones | Photograph of RMJ and other boys on sled, 1884-85 | photographs | HC.MC-1130_099_08_07 | https://digitalcollections.tricolib.brynmawr.edu/node/487654 |  None

